ENCELADUS	EUROPA	metabolism	Substrate	KEGG Module	pathway	protein family 	protein id	reaction	family gene	gene	marker gene	KEGG ID	COG ID	GO ID 	GenBank 	KEGG genome	Uniprot	NCBI protein
yes	yes	methanogenesis	acetate	M00357	methanogenesis	acetyl-CoA synthetase	acs	acetate to acetyl-coa	acs	acs	no	K01895	COG0365	0003987	NA	NA	NA	NA
yes	yes	methanogenesis	acetate	M00357 	methanogenesis	acetate kinase 	ackA	acetate to acetyl phosphate	ackA	ackA	no	K00925	COG0282	0008776	NA	NA	NA	NA
yes	yes	methanogenesis	acetate	M00357	methanogenesis	phosphate acetyltransferase	pta	acetyl phosphate to acetyl-coA	pta	pta	no	K00625	COG0280	0008959	NA	NA	NA	NA
yes	yes	methanogenesis	acetate	M00357, M00422	methanogenesis	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta 	cdhC	acetyl coA to CO + a[methy Co(III) corrinoid] FeS protrein	cdhC	cdhC	no	K00193	COG1614	0043884	NA	NA	NA	NA
yes	yes	methanogenesis	acetate	M00357, M00377, M00422	methanogenesis	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma 	cdhDE	a[methy Co(III) corrinoid] FeS protrein to 5-methyl-H4MPT	cdhDE	cdhE	no	K00197	COG1456	NA	NA	NA	NA	NA
yes	yes	methanogenesis	acetate	M00357, M00377, M00422	methanogenesis	acetyl-CoA decarbonylase/synthase,CODH/ACS complex subunit delta	cdhDE	a[methy Co(III) corrinoid] FeS protrein to 5-methyl-H4MPT	cdhDE	cdhD	no	K00194	COG2069	NA	NA	NA	NA	NA
yes	yes	methanogenesis	acetate	M00422	methanogenesis	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha	cdhAB	CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+	cdhAB	cdhA	no	K00192	COG1152	0043885	NA	NA	NA	NA
yes	yes	methanogenesis	acetate	M00422	methanogenesis	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon	cdhAB	CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+	cdhAB	cdhB	no	K00195 	COG1880	NA	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	formylmethanofuran dehydrogenase subunit A	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdA	no	K00200	COG1229	0018493	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	formylmethanofuran dehydrogenase subunit B	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdB	no	K00201	COG1029	0018493	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	formylmethanofuran dehydrogenase subunit C	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdC	no	K00202	COG2218	0018493	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	formylmethanofuran dehydrogenase subunit D 	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdD	no	K00203	COG1153	0018493	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	formylmethanofuran dehydrogenase subunit E	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdE	no	K11261	COG2191	0018493	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	4Fe-4S ferredoxin	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdF	no	K00205	COG1145	0018493	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	4Fe-4S ferredoxin	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdG	no	K11260	COG1145	0018493	NA	NA	NA	NA
